ID,Time in System, Time in search
1150,1977.889,84.01376
1384,1504.954,0
1227,1823.069,0
1228,1823.069,0
1229,1823.069,0
1488,1312.401,0
1508,1261.687,0
1509,1261.687,0
1413,1463.655,201.6904
1654,990.35,214.5565
1401,1486.9,213.9278
1402,1486.9,213.9278
1403,1486.9,213.9278
1562,1160.778,0
1008,2260.255,0
1009,2260.255,0
1010,2260.255,0
1653,1000.716,0
1786,722.5479,224.6711
1865,537.1847,0
1548,1211.588,248.0486
1559,1188.334,226.9692
1637,1053.441,0
1336,1657.153,262.0856
1361,1611.25,242.2593
1770,784.7109,191.0609
1256,1832.608,0
1257,1832.608,0
1419,1507.899,0
1420,1507.899,0
1152,2042.855,199.6712
1549,1244.299,245.3588
1561,1221.932,0
1693,962.981,0
1671,1026.905,0
1077,2192.425,111.4268
1078,2192.425,111.4268
1108,2135.499,107.8044
1109,2135.499,107.8044
1110,2135.499,107.8044
1545,1273.653,239.024
1523,1316.192,232.5886
1542,1283.372,0
1543,1283.372,0
1191,1991.209,0
1192,1991.209,0
1193,1991.209,0
1875,558.3976,34.20618
1876,558.3976,34.20618
1617,1136.587,189.3865
1491,1399.914,210.6741
986,2402.715,189.1184
1825,738.0924,0
1289,1814.52,0
1443,1516.135,0
1746,903.5836,0
1502,1398.076,280.0988
1503,1398.076,280.0988
1300,1822.792,0
1301,1822.792,0
1629,1168.72,0
1030,2355.27,0
1801,832.897,0
1879,624.5391,125.127
1476,1494.808,214.3107
1794,843.0206,0
1239,1985.764,14.0163
1725,1009.469,0
1753,949.5823,0
1627,1223.149,0
1181,2112.833,201.0965
1182,2112.833,201.0965
1183,2112.833,201.0965
1610,1248.771,0
1828,826.7791,0
1956,434.5388,0
1724,1036.179,216.6462
1196,2102.825,191.5699
1406,1677.979,0
1677,1150.744,0
1678,1150.744,0
1296,1909.61,317.4545
1297,1909.61,317.4545
1246,2005.15,0
1247,2005.15,0
1248,2005.15,0
1741,1010.516,203.4423
1790,910.4575,214.9271
1395,1708.859,202.5753
1396,1708.859,202.5753
1397,1708.859,202.5753
1398,1708.859,202.5753
1380,1754.295,0
1091,2319.508,0
1092,2319.508,0
1093,2319.508,0
1551,1410.751,0
1552,1410.751,0
1773,958.5555,0
1774,958.5555,0
1130,2264.142,199.0139
1131,2264.142,199.0139
1132,2264.142,199.0139
1276,1976.144,197.6094
1277,1976.144,197.6094
1278,1976.144,197.6094
1279,1976.144,197.6094
1836,861.0093,0
1872,734.6519,0
1601,1331.551,0
1496,1558.711,0
1618,1306.979,0
1619,1306.979,0
1620,1306.979,0
1695,1157.118,185.3468
1315,1924.753,0
1316,1924.753,0
1483,1600.98,206.8929
1752,1046.504,221.3295
1234,2097.769,243.2531
1235,2097.769,243.2531
1236,2097.769,243.2531
1311,1946.647,65.57837
1312,1946.647,65.57837
1313,1946.647,65.57837
1262,2049.279,0
1687,1198.242,0
1428,1730.673,0
1429,1730.673,0
1415,1757.707,196.6511
1988,428.3088,0
1507,1579.605,189.4852
1754,1078.899,0
1755,1078.899,0
1327,1972.238,247.002
1749,1112.667,0
1643,1342.783,0
1644,1342.783,0
1851,905.475,0
1376,1878.917,0
1307,2005.34,189.429
1615,1406.196,0
1616,1406.196,0
1730,1178.46,210.3918
1934,662.3257,191.9429
1430,1793.525,0
1821,1016.786,0
1656,1348.362,0
1721,1211.141,0
1341,1976.133,255.2979
1342,1976.133,255.2979
1328,2005.535,283.1649
1329,2005.535,283.1649
1292,2085.028,12.73816
1433,1796.622,0
1434,1796.622,0
1686,1288.365,203.2866
1270,2125.72,275.8019
1271,2125.72,275.8019
1272,2125.72,275.8019
1273,2125.72,275.8019
1481,1709.727,0
1482,1709.727,0
1598,1465.605,228.4497
1599,1465.605,228.4497
1873,871.8995,0
1590,1500.405,0
1031,2601.121,184.6003
1500,1689.369,0
1596,1488.54,209.2249
1215,2261.307,195.5397
1285,2122.147,252.1307
1286,2122.147,252.1307
1287,2122.147,252.1307
1288,2122.147,252.1307
1466,1764.852,218.1101
1467,1764.852,218.1101
1802,1077.707,79.87585
1475,1750.678,202.9078
1210,2289.049,158.2914
1211,2289.049,158.2914
1212,2289.049,158.2914
1213,2289.049,158.2914
1356,2000.583,30.44836
1357,2000.583,30.44836
1358,2000.583,30.44836
1216,2282.606,8.859924
1378,1959.001,228.0356
1631,1457.996,205.9579
1527,1656.468,0
1528,1656.468,0
1529,1656.468,0
1349,2024.528,0
1510,1691.942,0
1511,1691.942,0
1343,2047.23,340.3138
1344,2047.23,340.3138
1474,1793.374,0
1293,2160.183,273.0023
1294,2160.183,273.0023
1864,971.4087,0
1368,2014.308,106.5526
1369,2014.308,106.5526
1370,2014.308,106.5526
1371,2014.308,106.5526
1670,1420.194,211.8628
1719,1315.469,281.1981
1720,1315.469,281.1981
1630,1498.655,196.2242
1412,1938.85,209.2321
1556,1649.249,243.7631
1557,1649.249,243.7631
1409,1945.191,260.6232
1410,1945.191,260.6232
1411,1945.191,260.6232
1718,1338.274,204.542
1840,1088.02,210.1656
1571,1632.575,0
1572,1632.575,0
1573,1632.575,0
1536,1703.244,0
1537,1703.244,0
1477,1832.161,0
1478,1832.161,0
1479,1832.161,0
1445,1898.772,216.1137
1660,1472.024,211.3042
1586,1618.108,182.2106
1981,655.072,0
1795,1186.186,0
1796,1186.186,0
1797,1186.186,0
1438,1921.048,228.9291
1582,1633.832,200.6865
1518,1750.433,245.5853
1519,1750.433,245.5853
1520,1750.433,245.5853
1521,1750.433,245.5853
1588,1627.017,0
1589,1627.017,0
1728,1351.761,0
1441,1940.447,0
1442,1940.447,0
1979,686.7034,127.3228
1388,2039.203,0
1389,2039.203,0
1435,1955.632,236.525
1569,1683.674,0
1553,1713.906,0
1554,1713.906,0
1555,1713.906,0
1703,1419.07,207.2218
1729,1375.623,0
1427,1990.239,212.8616
2021,585.1628,195.571
1320,2213.942,0
1321,2213.942,0
1322,2213.942,0
1679,1502.118,193.0131
1779,1280.639,197.2991
2049,516.3577,0
1712,1435.575,182.3973
2088,416.0107,0
1365,2149.555,236.4541
1366,2149.555,236.4541
1648,1602.268,222.7854
1649,1602.268,222.7854
1780,1316.962,0
1781,1316.962,0
1782,1317.752,0
1783,1317.752,0
1517,1856.858,229.6698
2063,514.8474,0
1777,1335.593,212.2202
1647,1616.931,0
1849,1201.782,194.5547
1903,1032.893,196.5848
2015,678.5842,0
1575,1765.911,248.0386
1576,1765.911,248.0386
1453,2015.341,245.7408
1454,2015.341,245.7408
1470,1990.355,200.2145
1459,2013.459,336.5409
1460,2013.459,336.5409
1830,1271.108,199.1438
1740,1442.766,0
1992,750.7278,0
1485,1975.318,235.0193
1486,1975.318,235.0193
1487,1975.318,235.0193
1436,2078.76,0
1437,2078.76,0
1560,1821.244,0
1874,1146.26,193.2916
1778,1387.477,219.4553
1869,1172.211,0
1771,1412.731,193.1642
1386,2187.862,221.5826
1387,2187.862,221.5826
1422,2121.686,232.6589
1860,1214.713,190.978
1961,903.1948,0
1699,1570.985,0
1700,1570.985,0
1473,2030.538,205.1807
1885,1146.41,202.5281
1426,2133.981,202.3817
1583,1818.665,219.5265
1584,1818.665,219.5265
1841,1295.601,0
1751,1480.196,204.1844
1714,1560.905,183.2988
1762,1454.259,0
1763,1454.259,0
1917,1054.881,0
1668,1675.385,0
1722,1556.562,209.1985
1675,1660.106,218.7604
1646,1721.866,0
1600,1797.636,0
1953,963.9292,194.0972
1954,963.9292,194.0972
1955,963.9292,194.0972
1448,2115.651,0
1449,2115.651,0
2064,629.0229,203.1555
1747,1513.822,0
1856,1276.543,0
1857,1276.543,0
1858,1276.543,0
1898,1150.125,0
1657,1716.503,219.076
1658,1716.503,219.076
1792,1429.006,222.2988
1892,1171.489,198.39
1505,2021.857,212.2289
1633,1768.845,0
1634,1768.845,0
1635,1768.845,0
1986,871.0103,0
1964,953.4744,0
1952,999.2354,170.2405
2052,703.5796,188.8152
1351,2347.301,457.6512
1352,2347.301,457.6512
1353,2347.301,457.6512
1354,2347.301,457.6512
1688,1674.604,231.3115
1689,1674.604,231.3115
1690,1674.604,231.3115
1817,1423.766,198.4586
1818,1423.766,198.4586
1761,1520.816,0
1602,1848.825,189.1278
1899,1192.668,0
1900,1192.668,0
1901,1192.668,0
1431,2211.047,212.5437
2146,458.158,0
1705,1656.304,0
1706,1656.304,0
1707,1658.536,157.2131
1708,1658.536,157.2131
1709,1658.536,157.2131
1710,1658.536,157.2131
1984,931.74,225.3728
1308,2470.136,493.5451
1309,2470.136,493.5451
1310,2470.136,493.5451
1854,1358.189,118.4084
1855,1358.189,118.4084
1348,2404.216,235.4352
1750,1591.554,187.0837
1893,1247.884,0
1894,1247.884,0
1895,1247.884,0
1852,1388.341,0
1628,1865.134,0
1891,1272.358,180.8586
1499,2134.716,223.8022
1915,1195.118,191.4602
1916,1195.118,191.4602
1665,1812.513,382.3356
1666,1812.513,382.3356
1667,1812.513,382.3356
1655,1834.918,0
1791,1549.454,0
1659,1835.488,0
1835,1478.008,0
1379,2390.758,224.2548
1346,2469.083,241.9192
1906,1264.355,209.5442
1684,1789.912,0
1685,1789.357,163.8632
1597,1964.088,201.6364
1390,2385.614,211.7821
1391,2385.614,211.7821
1530,2104.423,276.7406
1531,2104.423,276.7406
1924,1212.348,194.6792
1713,1743.649,0
1372,2443.692,233.5291
2159,508.594,0
1866,1401.006,205.756
1983,1034.588,189.4417
1534,2126.979,223.7404
1909,1287.97,186.6653
1538,2122.848,294.0839
1539,2122.848,294.0839
1540,2122.848,294.0839
1541,2122.848,294.0839
1547,2113.659,0
1535,2143.122,245.1722
1996,1029.834,190.5403
1650,1937.191,0
1962,1164.95,0
1912,1316.211,0
1913,1316.211,0
1624,1993.734,429.8425
1625,1993.734,429.8425
1626,1993.734,429.8425
1907,1342.576,0
