Time, Seats Used, Seats Taken, Delta_Time, Integral_Increment_Used, Integral_Increment_Reserved
195.4962,59,45,0.7499084,44.2446,33.74588
195.5255,60,44,0.02931213,1.758728,1.289734
196.2485,61,43,0.7229156,44.09785,31.08537
196.6772,62,42,0.4287109,26.58008,18.00586
198.0023,62,43,1.325165,82.16022,56.98209
198.0023,62,44,0,0,0
198.4677,62,45,0.4653931,28.85437,20.94269
198.7515,63,44,0.2837982,17.87929,12.48712
200.2854,63,45,1.53389,96.63506,69.02504
201.6562,63,46,1.370758,86.35776,63.05487
201.6562,63,47,0,0,0
201.8653,64,46,0.2091522,13.38574,9.621002
205.8716,64,47,4.006226,256.3984,188.2926
205.8716,64,48,0,0,0
205.8716,64,49,0,0,0
206.5856,65,48,0.7140503,46.41327,34.27441
208.8203,66,47,2.234665,147.4879,105.0293
208.8203,65,47,0,0,0
208.8203,65,47,0,0,0
209.4086,66,46,0.5883331,38.82999,27.06332
212.1854,67,45,2.776779,186.0442,124.9551
212.7605,67,46,0.5751038,38.53195,26.45477
212.7605,67,47,0,0,0
213.3489,68,46,0.5883789,40.00977,27.06543
213.9536,68,47,0.6047516,41.12311,28.42332
213.9536,68,48,0,0,0
214.443,69,47,0.4893646,33.76616,23.00014
217.0327,69,48,2.589706,178.6897,124.3059
217.0327,69,49,0,0,0
217.0327,69,50,0,0,0
217.0327,69,51,0,0,0
220.0885,70,50,3.055847,213.9093,152.7924
222.1201,70,51,2.031586,142.211,103.6109
226.1264,71,50,4.006317,284.4485,200.3159
226.949,71,51,0.8225403,58.40036,41.94955
226.949,71,52,0,0,0
226.949,71,53,0,0,0
227.0327,72,52,0.08370972,6.0271,4.352905
228.963,73,51,1.930283,140.9106,98.44441
229.0108,73,52,0.04782104,3.490936,2.486694
230.4603,74,51,1.449478,107.2614,73.92339
230.5793,74,52,0.1190796,8.81189,6.192139
231.5339,75,51,0.9545135,71.58852,48.68019
231.8287,76,50,0.2948608,22.40942,14.74304
232.6029,77,49,0.7741699,59.61108,37.93433
232.706,78,48,0.1031189,8.043274,4.949707
234.155,78,49,1.449005,113.0224,71.00125
234.9901,78,50,0.8351288,65.14005,41.75644
234.9901,78,51,0,0,0
235.968,79,50,0.9778137,77.24728,48.89069
236.0483,80,49,0.08036804,6.429443,3.938034
236.4826,80,50,0.4343109,34.74487,21.71555
236.4826,80,51,0,0,0
239.4118,80,52,2.929153,234.3323,152.316
241.3627,80,53,1.950943,156.0754,103.4
241.3627,80,54,0,0,0
242.5384,80,55,1.175659,94.05273,64.66125
243.05,81,54,0.5115814,41.4381,27.6254
244.9901,82,53,1.94017,159.094,102.829
246.0349,83,52,1.044724,86.71205,54.32562
248.6169,83,53,2.582077,214.3124,136.8501
250.0137,84,52,1.396774,117.329,72.63226
250.7032,85,51,0.6894379,58.60222,35.16133
251.0074,85,52,0.3042755,25.86342,15.82233
251.0496,85,53,0.04212952,3.581009,2.232864
251.0496,85,54,0,0,0
251.0496,85,55,0,0,0
251.0496,85,56,0,0,0
252.5384,86,55,1.488831,128.0394,81.88568
257.929,86,56,5.390564,463.5885,301.8716
258.8882,87,55,0.959198,83.45023,52.75589
259.2426,88,54,0.3544617,31.19263,19.14093
259.2622,88,55,0.01956177,1.721436,1.075897
260.1959,88,56,0.9336853,82.16431,52.28638
262.436,89,55,2.240143,199.3727,123.2079
262.7455,90,54,0.3095398,27.85858,16.71515
265.9143,91,53,3.168762,288.3574,167.9444
268.385,91,54,2.470703,224.834,133.418
268.6334,91,55,0.2484131,22.60559,13.66272
268.6334,91,56,0,0,0
268.6334,91,57,0,0,0
269.6009,92,56,0.9674683,89.00708,54.17822
271.1183,93,55,1.517365,141.1149,83.45505
271.2477,93,56,0.1294556,12.03937,7.249512
272.8143,94,55,1.566559,147.2565,86.16074
272.8755,95,54,0.0612793,5.821533,3.309082
273.8329,95,55,0.9573975,90.95276,52.65686
273.8329,95,56,0,0,0
274.3694,96,55,0.5364075,51.49512,29.50241
276.106,96,56,1.736664,166.7197,97.25317
279.8136,97,55,3.70755,359.6324,203.9153
280.0071,97,56,0.193573,18.77658,10.84009
280.0071,97,57,0,0,0
281.5377,98,56,1.530548,149.9937,85.71069
282.5755,98,57,1.037842,101.7085,59.15698
283.3673,98,58,0.7918091,77.59729,45.92493
