ID,Time in System, Time in search
388,564.6738,0
259,793.0172,0
314,706.4054,0
313,708.2485,0
315,708.2485,0
316,708.2485,0
364,623.7949,0
365,623.7949,0
330,697.704,0
331,697.704,0
332,697.704,0
333,697.704,0
371,624.2281,0
460,470.8226,0
275,808.9133,0
276,808.9133,0
277,808.9133,0
409,577.1824,0
343,721.876,0
484,465.042,0
372,665.1793,0
397,625.5953,0
289,824.1371,0
317,778.696,0
318,778.696,0
319,778.696,0
443,559.9952,0
408,618.4851,0
334,771.1589,0
336,771.1589,0
335,775.7067,0
385,681.2097,0
386,681.2097,0
412,633.2339,0
310,817.2514,0
354,769.2445,0
489,520.8639,0
398,693.7852,0
399,693.7852,0
320,843.6616,0
360,777.8739,0
413,673.4195,0
414,673.4195,0
415,673.4195,0
424,664.9073,0
425,664.9073,0
363,776.2831,0
384,750.2155,0
322,874.1155,0
323,874.1155,0
361,808.1539,0
417,706.0668,0
448,651.7661,0
439,669.3822,0
358,828.8656,0
510,550.2266,0
359,848.4148,0
430,716.8895,0
476,639.4899,0
428,728.3506,0
452,684.3337,0
453,685.489,0
392,799.9862,0
393,799.9862,0
394,799.9862,0
395,799.9862,0
374,827.2787,0
375,827.2787,0
324,942.4651,0
325,942.4651,0
326,942.4651,0
327,942.4651,0
370,851.4211,0
492,640.0122,0
526,583.4447,0
405,808.2805,0
406,808.2805,0
480,672.3342,0
407,814.2057,0
429,785.008,0
381,866.3482,0
338,959.4532,0
379,868.0253,0
380,868.0253,0
382,868.0253,0
458,731.8161,0
456,736.72,0
457,736.72,0
459,736.72,0
547,571.0436,0
341,975.1707,0
342,975.1707,0
440,796.6796,0
441,796.6796,0
383,896.6873,0
491,706.6945,0
502,683.6344,0
473,748.2927,0
474,749.625,0
447,802.8419,0
346,999.5682,0
347,999.5682,0
479,765.4318,0
419,870.4481,0
420,870.4481,0
450,820.3266,0
449,823.0064,0
389,929.6168,0
390,929.6168,0
391,929.6168,0
552,633.2474,0
490,753.7097,0
349,1034.454,0
350,1034.454,0
351,1034.454,0
433,877.7614,0
434,877.7614,0
431,884.3204,0
451,848.5785,0
470,822.6257,0
483,797.988,0
506,758.0809,0
569,644.5852,0
421,929.1758,0
422,929.1758,0
423,929.1758,0
444,891.5677,0
446,891.5677,0
436,908.5521,0
437,908.5521,0
438,908.5521,0
445,895.9595,0
356,1062.045,0
475,851.9211,0
497,811.7606,0
588,638.5629,0
498,817.9575,0
499,817.9575,0
472,884.054,0
478,873.0515,0
523,787.9402,0
468,894.0659,0
469,894.0659,0
493,846.2218,0
471,924.7619,0
486,884.8333,0
487,884.8333,0
488,884.8333,0
402,1039.262,0
403,1039.262,0
404,1039.262,0
525,819.8909,0
551,768.9882,0
597,694.1428,0
598,694.1428,0
515,843.1538,0
516,843.2782,0
512,856.9028,0
500,892.2201,0
501,892.2201,0
541,818.1414,0
533,829.5593,0
485,926.4504,0
410,1067.501,0
411,1067.501,0
507,888.7302,0
508,893.1275,0
513,885.1646,0
577,772.3285,0
529,866.6675,0
530,866.6675,0
503,920.1561,0
509,912.4226,0
426,1072.816,0
427,1072.816,0
566,809.079,0
532,875.5573,0
522,909.0071,0
528,887.4671,0
519,911.1945,0
520,911.1945,0
521,911.1945,0
432,1086.948,0
527,910.3176,0
524,926.7789,0
496,973.4496,0
494,973.8984,0
495,973.8984,0
531,917.7086,0
454,1075.966,0
511,977.6337,0
565,875.2319,0
537,931.1238,0
538,931.1238,0
539,931.1238,0
549,904.637,0
550,904.637,0
548,921.1385,0
545,932.7975,0
556,914.7618,0
557,914.7618,0
455,1109.415,0
585,867.9897,0
570,901.7454,0
505,1035.606,0
504,1036.219,0
559,945.8682,0
514,1036.835,0
464,1134.045,0
465,1134.045,0
466,1134.045,0
467,1134.045,0
575,925.4056,0
657,785.5095,0
576,928.5442,0
534,1007.54,0
535,1007.54,0
536,1007.58,0
477,1139.332,0
571,952.0328,0
540,1020.807,0
612,888.5573,0
564,980.3171,0
579,959.2936,0
